date,restaurant_id,total_sales,customers,avg_order_value,dine_in_sales,takeout_sales,marketing_spend,promotions_active,staff_count,hours_open,royalty_income
2023-01-01,1,8928.27,233,38.32,6337.87,2590.4,120.21,0,18,12,535.7
2023-01-02,1,6092.91,203,30.01,4356.97,1735.94,75.39,0,19,11,365.57
2023-01-03,1,5905.81,183,32.27,4148.69,1757.12,244.38,0,16,12,354.35
2023-01-04,1,5852.78,182,32.16,4018.73,1834.05,255.23,0,18,13,351.17
2023-01-05,1,6426.71,224,28.69,4567.81,1858.9,126.74,0,17,13,385.6
2023-01-06,1,7132.16,252,28.3,4800.58,2331.58,158.46,1,19,13,427.93
2023-01-07,1,7445.15,182,40.91,5032.01,2413.14,348.14,0,17,11,446.71
2023-01-08,1,7443.07,187,39.8,5172.75,2270.32,227.82,0,19,13,446.58
2023-01-09,1,6099.37,182,33.51,4130.1,1969.27,422.93,0,17,10,365.96
2023-01-10,1,6376.67,212,30.08,4656.37,1720.3,83.55,0,16,10,382.6
2023-01-11,1,5699.67,144,39.58,4107.67,1592.0,378.05,0,16,12,341.98
2023-01-12,1,6148.6,207,29.7,4527.28,1621.32,330.48,0,17,10,368.92
2023-01-13,1,6090.93,187,32.57,4403.5,1687.43,336.9,0,18,12,365.46
2023-01-14,1,7606.24,200,38.03,5522.73,2083.51,302.57,0,18,10,456.37
2023-01-15,1,7594.93,222,34.21,5089.91,2505.02,453.09,0,16,13,455.7
2023-01-16,1,6585.63,219,30.07,4678.71,1906.92,292.93,0,20,13,395.14
2023-01-17,1,7640.54,189,40.43,5443.39,2197.15,183.04,1,20,13,458.43
2023-01-18,1,5945.23,146,40.72,4185.05,1760.18,413.35,0,19,10,356.71
2023-01-19,1,5850.49,187,31.29,4052.7,1797.79,418.11,0,16,12,351.03
2023-01-20,1,6361.52,187,34.02,4276.28,2085.24,103.94,0,19,12,381.69
2023-01-21,1,8286.55,218,38.01,5687.58,2598.97,487.3,0,19,13,497.19
2023-01-22,1,8254.25,256,32.24,5600.38,2653.87,66.6,0,16,11,495.25
2023-01-23,1,5785.33,181,31.96,4285.93,1499.4,157.8,0,17,14,347.12
2023-01-24,1,6975.51,222,31.42,5002.93,1972.58,392.73,0,18,10,418.53
2023-01-25,1,6192.29,168,36.86,4417.29,1775.0,291.1,0,16,10,371.54
2023-01-26,1,5964.06,208,28.67,4229.05,1735.01,354.9,0,18,11,357.84
2023-01-27,1,6017.32,162,37.14,4016.18,2001.14,360.92,0,17,10,361.04
2023-01-28,1,8667.9,280,30.96,6103.46,2564.44,363.1,0,19,11,520.07
2023-01-29,1,9081.53,216,42.04,6779.74,2301.79,301.23,1,18,10,544.89
2023-01-30,1,6628.46,166,39.93,4876.11,1752.35,232.03,0,16,13,397.71
2023-01-31,1,5944.14,146,40.71,4224.16,1719.98,54.14,0,16,12,356.65
2023-02-01,1,6916.86,198,34.93,4806.13,2110.73,497.51,1,19,10,415.01
2023-02-02,1,6372.85,208,30.64,4375.9,1996.95,384.88,0,18,10,382.37
2023-02-03,1,6437.47,183,35.18,4593.99,1843.48,162.71,0,20,12,386.25
2023-02-04,1,8519.11,217,39.26,5965.62,2553.49,309.61,0,16,14,511.15
2023-02-05,1,8303.32,230,36.1,6035.31,2268.01,69.62,0,19,13,498.2
2023-02-06,1,6108.97,151,40.46,4427.61,1681.36,478.88,0,20,10,366.54
2023-02-07,1,6485.68,155,41.84,4264.56,2221.12,187.56,0,16,12,389.14
2023-02-08,1,6468.42,157,41.2,4654.69,1813.73,306.53,0,17,11,388.11
2023-02-09,1,6136.32,188,32.64,4509.38,1626.94,111.48,0,20,11,368.18
2023-02-10,1,6797.79,169,40.22,5039.37,1758.42,280.1,0,16,13,407.87
2023-02-11,1,8573.99,226,37.94,6255.41,2318.58,450.5,0,19,11,514.44
2023-02-12,1,8457.97,296,28.57,5891.48,2566.49,294.19,0,20,11,507.48
2023-02-13,1,6088.26,213,28.58,4142.0,1946.26,291.69,0,20,10,365.3
2023-02-14,1,6117.96,147,41.62,4256.43,1861.53,428.91,0,19,12,367.08
2023-02-15,1,6703.4,160,41.9,4703.31,2000.09,195.33,0,16,12,402.2
2023-02-16,1,5875.0,207,28.38,4384.31,1490.69,426.19,0,16,13,352.5
2023-02-17,1,5999.05,198,30.3,4049.5,1949.55,297.15,0,16,14,359.94
2023-02-18,1,9106.62,237,38.42,6424.13,2682.49,325.27,0,18,13,546.4
2023-02-19,1,7780.43,262,29.7,5323.28,2457.15,91.31,0,16,13,466.83
2023-02-20,1,5805.46,150,38.7,4242.0,1563.46,205.84,0,20,11,348.33
2023-02-21,1,6602.21,230,28.71,4538.76,2063.45,331.64,0,17,10,396.13
2023-02-22,1,6667.66,182,36.64,4963.33,1704.33,474.91,0,19,12,400.06
2023-02-23,1,6661.52,184,36.2,4415.59,2245.93,415.04,0,18,14,399.69
2023-02-24,1,6848.54,184,37.22,4593.1,2255.44,173.28,0,19,11,410.91
2023-02-25,1,8568.14,261,32.83,6131.12,2437.02,223.43,0,17,11,514.09
2023-02-26,1,7972.69,228,34.97,5734.67,2238.02,206.75,0,18,14,478.36
2023-02-27,1,6337.89,152,41.7,4466.93,1870.96,240.56,0,18,10,380.27
2023-02-28,1,5966.17,189,31.57,4224.37,1741.8,440.2,0,20,13,357.97
2023-03-01,1,7524.71,195,38.59,4968.66,2556.05,456.15,0,19,10,451.48
2023-03-02,1,7735.02,231,33.48,5036.15,2698.87,457.42,0,19,10,464.1
2023-03-03,1,7816.26,189,41.36,5528.78,2287.48,334.33,0,20,14,468.98
2023-03-04,1,9006.12,240,37.53,6531.58,2474.54,406.21,0,16,14,540.37
2023-03-05,1,12279.18,426,28.82,8886.49,3392.69,295.66,1,18,11,736.75
2023-03-06,1,8956.57,223,40.16,6572.76,2383.81,241.74,1,17,10,537.39
2023-03-07,1,7478.25,256,29.21,4924.31,2553.94,493.99,0,20,10,448.69
2023-03-08,1,6806.43,167,40.76,4827.04,1979.39,207.6,0,19,12,408.39
2023-03-09,1,7271.56,214,33.98,5385.58,1885.98,100.04,0,18,14,436.29
2023-03-10,1,7145.33,248,28.81,4729.36,2415.97,102.89,0,16,10,428.72
2023-03-11,1,8860.24,263,33.69,6182.42,2677.82,87.3,0,16,14,531.61
2023-03-12,1,11269.76,393,28.68,8329.64,2940.12,287.47,1,18,13,676.19
2023-03-13,1,7276.34,175,41.58,5110.24,2166.1,333.23,0,16,14,436.58
2023-03-14,1,7034.81,183,38.44,5216.49,1818.32,481.42,0,19,13,422.09
2023-03-15,1,6728.45,181,37.17,4634.74,2093.71,153.23,0,19,13,403.71
2023-03-16,1,6861.18,199,34.48,4481.94,2379.24,175.89,0,20,13,411.67
2023-03-17,1,6879.72,230,29.91,4524.24,2355.48,473.24,0,18,14,412.78
2023-03-18,1,9223.32,224,41.18,6793.96,2429.36,70.35,0,16,10,553.4
2023-03-19,1,10290.7,309,33.3,7460.32,2830.38,226.85,0,18,12,617.44
2023-03-20,1,6588.25,231,28.52,4370.55,2217.7,56.15,0,19,10,395.29
2023-03-21,1,7582.13,185,40.98,5372.05,2210.08,376.75,0,17,11,454.93
